icao_code;name_rus;name_eng;city_rus;city_eng;country_rus;runway_headings
LIRV;;Forrest River Airport;;Forrest River;Австралия;
KFWA;;Municipal/Baer Field;Форт Уэйн;Fort Wayne;США;
KNFW;;Fort Worth NAS Jrb/Carswell Field;;Fort Worth, TX;США;
PAFW;;Farewell;;Farewell;США;
;;Heliport;Форт-Вильям;Fort William;Великобритания;
KFXE;;Executive;Форт Лодердейл;Fort Lauderdale;США;
ZSAM;;Flaxman Island;;Flaxman Island;США;
FQCB;;Cuamba;;Cuamba;Мозамбик;
KFXY;;Municipal;;Forest City;США;
KFYM;;Municipal;Файетвилл;Fayetteville;США;
ZWFY;Фуюнь;Fuyun;Фуюнь;Fuyun;Китай;
FTTY;Файя;Faya;Файя;Faya;Чад;
PFYU;;Fort Yukon;;Fort Yukon;США;
KFYV;;Municipal (Drake Fld);Файетвилл;Fayetteville;США;
EGTG;Филтон;Filton;Бристоль;Bristol;Великобритания;
SKGY;Гуамал;Guamal;Гуамал;Guamal;Колумбия;
KGAB;;Gabbs;;Gabbs;США;
;Грация;Gracias;Грация;Gracias;Гондурас;
KGAD;;Municipal;;Gadsden;США;
DTTG;Габес;Gabes;Габес;Gabes;Тунис;
DTTF;Гафса;Gafsa;Гафса;Gafsa;Тунис;05:046°,23:226°
KGAG;;Gage;;Gage;США;
YGAY;;Gayndah;;Gayndah;Австралия;06:055°,24:235°
KGAI;;Montgomery County;;Gaithersburg;США;
RJSC;;Junmachi;Ямагата;Yamagata;Япония;
KGAG;;Gakona;;Gakona;США;
PAGA;;Galena;;Galena;США;
PAGM;;Gambell;;Gambell;США;
VRMG;;Gan Airport;Ген-Айленд;Gan Island;Мальдивы;
MUGT;;Los Canos;Гуантанамо;Guantanamo;Куба;
;Гусап;Gusap;Гусап;Gusap;Папуа - Новая Гвинея;
GAGO;Гао;Gao;Гао;Gao;Мали;
;Гарайна;Garaina;Гарайна;Garaina;Папуа - Новая Гвинея;
HKGA;Гарисса;Garissa;Гарисса;Garissa;Кения;17:168°,35:348°
LFNA;;Tallard;Гап;Gap;Франция;
VEGT;;Borjhar;;Gawahati;Индия;
;Гаг-Айленд;Gag Island;Гаг-Айленд;Gag Island;Индонезия;
VYGG;Ганго;Gangaw;Ганго;Gangaw;Мьянма;
;Гамба;Gamba;Гамба;Gamba;Габон;
VEGY;Гайя;Gaya;Гайя;Gaya;Индия;10:104°,28:284°
KGAZ;;Guasopa;;Guasopa;Папуа - Новая Гвинея;
;Биг-Бей;Big Bay;Биг-Бей;Big Bay;Вануату;
;Гара-Джебилет;Gara Djebilet;Гара-Джебилет;Gara Djebilet;Мавритания;
;Гасуке;Gasuke;Гасуке;Gasuke;Папуа - Новая Гвинея;
KGBD;;Great Bend;;Great Bend;США;
FBSK;;Sir Seretse Khama International;Габороне;Gaborone;Ботсвана;
;Негарбо;Negarbo;Негарбо;Negarbo;Папуа - Новая Гвинея;
KGBG;;Galesburg;;Galesburg;США;
PAGB;;Galbraith Lake;;Galbraith Lake;США;
MYGM;;Auxiliary Airfield;;Grand Bahama;Багамские острова;
TFFM;;Les Bases;Мари-Галанте;Marie Galante;Гваделупа;
GFGK;Гбангбаток;Gbangbatok;Гбангбаток;Gbangbatok;Сьерра-Леоне;
YGBI;;Goulburn Island;;Goulburn Island;Австралия;
;Гарбахари;Garbaharey;Гарбахари;Garbaharey;Эфиопия;
KGBN;Сан Джованни Ротондо;San Giovanni Rotondo;Сан Джованни Ротондо;San Giovanni Rotondo;Италия;
KGBO;;Baltimore Greenbelt T;Балтимор;Baltimore;США;
YGAM;;Gamboola;;Gamboola;Австралия;
;;Muharraq;;Muharraq;Бахрейн;
KGBR;;Walter J. Koladza Airport;;Great Barrington;США;
;Порт-Фицрой;Port Fitzroy;Порт-Фицрой;Port Fitzroy;Новая Зеландия;
FZFV;;Gorgan;;Gorgan;Иран;
HSKG;;Khashm El Girba;;Khashm El Girba;Судан;
YGIB;;Gibb River;;Gibb River;Австралия;
NZGB;Грейт-Барьер-Айленд;Great Barrier Island;Грейт-Барьер-Айленд;Great Barrier Island;Новая Зеландия;
;;Guacamaya;;Guacamaya;Колумбия;
KGCC;;Campbell County;Жилетте;Gillette;США;
ZSAM;;Gachsaran;;Gachsaran;Иран;
EGJB;Гернси;Guernsey;Гернси;Guernsey;Гернси;09:088°,27:268°
FAGC;;Grand Central;Йоханнесбург;Johannesburg;ЮАР;17:171°,35:351°
KGCK;;Garden City Municipal Airport;;Garden City, KS;США;
MWCR;;Owen Roberts International;;Georgetown;Каймановы острова;08:083°,26:263°
KGCN;;National Park;;Grand Canyon;США;
LIPE;;Gravatai;;Gravatai;Бразилия;
KGCY;;Municipal;;Greenville;США;
;Гунда;Gounda;Гунда;Gounda;Центральноафриканская Республика;
KGYH;;Donaldson Center;;Greenville;США;
YGDN;;Gordon Downs;;Gordon Downs;Австралия;
HAGO;;Gode/Iddidole;;Gode/Iddidole;Эфиопия;
UHBI;Магдагачи;Magdagachi;Магдагачи;Magdagachi;Россия;
KGDH;;Golden Horn Lodge SPB;;Golden Horn Lodge, Alaska;США;
FEGL;Гордил;Gordil;Гордил;Gordil;Центральноафриканская Республика;
FZWC;Гандаджика;Gandajika;Гандаджика;Gandajika;Демократическая республика Конго;
MMGL;;Miguel Hidalgo International Airport;Гуадалахара;Guadalajara;Мексика;
KGDM;;Municipal;;Gardner;США;
EPGD;;Lech Walesa;Гданьск;Gdansk;Польша;
SVGD;;Vare Maria;;Guasdualito;Венесуэла;
SNGD;Гуадалупе;Guadalupe;Гуадалупе;Guadalupe;Бразилия;
HAGN;Гондэр;Gondar;Гондэр;Gondar;Эфиопия;
MBGT;;Grand Turk Is;;Grand Turk Is;Теркс и Кайкос;
KGDV;;Dawson Community;;Glendive;США;
KGDW;;Gladwin;;Gladwin;США;
UHMM;Магаданский аэропорт Сокол;Magadan Sokol Airport;Магадан;Magadan;Россия;10:104°,28:284°
URKG;Геленджик аэропорт;Gelendzhik Airport;Геленджик;Gelendzik;Россия;01:007°,19:187°
NWWM;;Magenta;;Noumea;Новая Каледония;
WAMJ;Гебе;Gebe;Гебе;Gebe;Индонезия;
;Геситкале;Gecitkale;Геситкале;Gecitkale;Кипр;
KGED;;Sussex County;;Georgetown;США;
YGTO;;George Town;;George Town;Австралия;
AGEV;;Geva Airstrip;Жева-Эйрстрип;Geva;Центральноафриканская Республика;
KGEG;;Spokane International;Спокане;Spokane;США;
;;Green Islands;;Green Islands;Папуа - Новая Гвинея;
LIMW;;Ganes Creek;;Ganes Creek;США;
SBNM;;Sepe Tiaraju;;Santo Angelo;Бразилия;12:118°,30:298°
KBOS;;Oslo - Gardermoen Airport;Осло;Oslo;Норвегия;
MUNG;;Rafael Cabrera;Нуэва-Герона;Nueva Gerona;Куба;
RPMB;;General Santos International;Женерал-Сантос;General Santos;Филиппины;
YGEL;;Geraldton;;Geraldton;Австралия;03:019°,21:199°,08:081°,26:261°,14:144°,32:324°
ESNG;Галливаре;Gallivare;Галливаре;Gallivare;Швеция;12:109°,30:289°
;;Gewoia;;Gewoia;Папуа - Новая Гвинея;
YGLG;Гелонг;Geelong;Гелонг;Geelong;Австралия;
KGEY;;South Big Horn County;;Greybull;США;
KGFA;;Malmstrom AFB;;Great Falls;США;
YPGV;;Togiak Fish;;Togiak Fish;США;
KGFD;;Pope Field;;Greenfield;Гайана;
;;Grenfell;;Grenfell;Австралия;
YGTH;;Griffith;;Griffith;Австралия;06:055°,24:235°,18:178°,36:358°
KGFK;;Grand Forks;;Grand Forks;США;
KGFL;;Warren County;;Glens Falls;США;
YGFN;;Grafton;;Grafton;Австралия;18:174°,36:354°
SYBT;Бартика;Bartica;Бартика;Bartica;Гайана;
LFRF;Гранвиль;Granville;Гранвиль;Granville;Франция;
FYGF;Грутфонтейн;Grootfontein;Грутфонтейн;Grootfontein;Намибия;08:081°,26:261°,17:169°,35:349°
FNBL;Лумбала;Lumbala;Лумбала;Lumbala;Ангола;
YGDS;;Gregory Downs;;Gregory Downs;Австралия;
KGGE;;Georgetown;;Georgetown;США;
KGGG;;Kilgore;;Kilgore;США;
;Жилгал;Gilgal;Жилгал;Gilgal;Колумбия;
DIGA;;Gagnoa;;Gagnoa;"Кот д&#039;Ивуар";
DIGL;;Guiglo;;Guiglo;"Кот д&#039;Ивуар";
HCMG;;Garoe;;Garoe;Эфиопия;
SAWR;;Gobernador Gregores;;Gobernador Gregores;Аргентина;
MYEF;;Exuma International;;George Town;Багамские острова;12:117° True,30:297° True
KGGW;;International;;Glasgow;США;
DAUG;;Noumerate;;Ghardaia;Алжир;
MYEM;;Governors Harbour;;Governors Harbour;Багамские острова;15:145° True,33:325° True
MYBG;;Great Harbour;;Great Harbour;Багамские острова;
;Гимби;Ghimbi;Гимби;Ghimbi;Эфиопия;
;Гарахин;Garachine;Гарахин;Garachine;Панама;
OOGB;;Giebelstadt;;Giebelstadt;Германия;
LLAZ;Гуш-Катиф;Gush Katif;Гуш-Катиф;Gush Katif;Израиль;
KGHM;;Municipal;;Centerville;США;
ZUGH;Гуанчжань;Guanghan;Гуанчжань;Guanghan;Китай;
HLGT;Гат;Ghat;Гат;Ghat;Ливия;17:170°,35:350°,06:060°,24:240°
SAAG;Гуалегуайчу;Gualeguaychu;Гуалегуайчу;Gualeguaychu;Аргентина;01:011°,19:191°
LXGB;;North Front;Гибралтар;Gibraltar;Гибралтар;
YBOI;;Boigu Island;;Boigu Island;Папуа - Новая Гвинея;
HBBE;;Gitega;;Gitega;Бурунди;
KGIF;;Gilbert Field;;Winter Haven;США;
SBGL;;Galeгo–antonio Carlos Jobim International Airport;;Rio De Janeiro;Бразилия;
GUSI;Сигуири;Siguiri;Сигуири;Siguiri;Гвинея;
OPGT;Гилгит;Gilgit;Гилгит;Gilgit;Пакистан;07:069°,25:249°
;Миеле-Мимбале;Miele Mimbale;Миеле-Мимбале;Miele Mimbale;Габон;
SKGI;;Girardot;;Girardot;Колумбия;
NZGS;Гисборн;Gisborne;Гизборн;Gisborne;Новая Зеландия;14:144°,32:324°,09:095°,27:275°,03:027°,21:207°,14:145°
;Гейта;Geita;Гейта;Geita;Танзания;
VVDB;;Sigiriya Slaf Base;Сигирия;Sigiriya;Шри-Ланка;16:157°,34:337°
FAGI;;Giyani;;Giyani;Египет;
OEGN;;Jazan;;Jazan;Саудовская Аравия;
MHNJ;;Guanaja;;Guanaja;Гондурас;
DAAV;;Jijel;;Jijel;Алжир;17:169°,35:349°
SBGM;;Guajara-Mirim;;Guajara-Mirim;Бразилия;
BIGJ;;Gjogur;;Gjogur;Исландия;04:041°,22:221°
KGJT;;Walker Field;Гранд Джанкшн;Grand Junction;США;
AYGA;Горока;Goroka;Горока;Goroka;Папуа - Новая Гвинея;17:170°,17:170°
ETNG;Гайленкирхен;Geilenkirchen;Гайленкирхен;Geilenkirchen;Германия;09:089°,27:269°,09:089°
VNGK;Горкха;Gorkha;Горкха;Gorkha;Непал;
YGKL;;Great Keppel Island;;Great Keppel Island;Австралия;
PAGK;;Gulkana;;Gulkana;США;
;Конгобумба;Kongoboumba;Конгобумба;Kongoboumba;Габон;
KGKT;Гатлинбург;Gatlinburg;Гатлинбург;Gatlinburg;США;
EGPF;;Glasgow International;;Glasgow;Великобритания;
HAGL;Гелади;Geladi;Гелади;Geladi;Эфиопия;
KGLD;;Renner Field;;Goodland;США;
KGLE;;Municipal;;Gainesville;Франция;
MRGF;Голфито;Golfito;Голфито;Golfito;Коста-Рика;13:135°,31:315°
YGLE;;Glengyle;;Glengyle;Австралия;
KGLH;;Greenville;;Greenville;США;
YGLI;;Glen Innes;;Glen Innes;Австралия;14:143°,32:323°,10:095°,28:275°
HCMR;Галкайо;Galcaio;Галкайо;Galcaio;Эфиопия;
ENUK;;Klanten Arpt;Гол;Gol;Норвегия;
YGLO;Гленормистон;Glenormiston;Гленормистон;Glenormiston;Австралия;
;Гулимим;Goulimime;Гулимим;Goulimime;Марокко;
EGBJ;;Gloucestershire;Глучестер;Gloucester;Великобритания;09:084°,27:264°,04:035°,22:215°,18:174°,36:354°,04:035°
;Гулгубип;Gulgubip;Гулгубип;Gulgubip;Папуа - Новая Гвинея;
KHLX;;Glennallen;;Glennallen;США;
KGLR;;Otsego County;;Gaylord;США;
KGLS;;Scholes Field;Гелвстон;Galveston;США;
YGLA;Гледстоун;Gladstone;Гледстоун;Gladstone;Австралия;10:101°,28:281°
PAGL;;Golovin;;Golovin;США;
KGLW;;Municipal;;Glasgow;США;
WAMA;Галела;Galela;Галела;Galela;Индонезия;
;;Goldsworthy;;Goldsworthy;Австралия;
EHGR;;Gilze-Rijen;Бреда;Breda;Нидерланды;10:099°,28:279°,02:017°,20:197°
FZFK;;Gemena;;Gemena;Демократическая республика Конго;10:102°,28:282°
HAGM;Гамбела;Gambela;Гамбела;Gambela;Эфиопия;
;Герима;Guerima;Герима;Guerima;Колумбия;
UMGG;Гомель;Gomel;Гомель;Gomel;Беларусь;
;Гасмата-Айленд;Gasmata Island;Гасмата-Айленд;Gasmata Island;Папуа - Новая Гвинея;
FCOG;Гамбома;Gamboma;Гамбома;Gamboma;Конго;
NZGM;Греймауз;Greymouth;Греймауз;Greymouth;Новая Зеландия;01:008°,19:188°
NTGJ;;Gambier Is;;Gambier Is;Французская Полинезия;
SNGM;Гимараес;Guimaraes;Гимараес;Guimaraes;Бразилия;
KGMT;;Granite Mountain;;Granite Mountain;США;
KGMU;;Greenville Downtown;;Greenville;США;
;Моньюмент Вэлли;Monument Valley;;Monument Valley Gldngs;Папуа - Новая Гвинея;
;Райндален;Rheindahlen;Райндален;Rheindahlen;Германия;
GCGM;;La Gomera;;San Sebas De La Gomera;Испания;09:086°,27:266°
UMMG;Гродно;Grodna;Гродно;Grodna;Беларусь;
LFLS;;Grenoble-isere Airport (St Geoirs);Гренобль;Grenoble;Франция;
TGPY;;Point Salines International;;St. Georges;Гренада;
;Гент;Ghent;Гент;Ghent;Бельгия;
KGNG;;Gooding;;Gooding;США;
RCGI;Грин-Айленд;Green Island;Грин Айленд;Green Island;Тайвань;
SNGI;;Guanambi;;Guanambi;Бразилия;14:139°,32:319°
HAGH;Гиннир;Ghinnir;Гиннир;Ghinnir;Эфиопия;
SAHR;Хенераль-Рока;General Roca;Хенераль-Рока;General Roca;Аргентина;
WIMB;;Binaka;Гунунгситоли;Gunungsitoli;Индонезия;09:093°,27:273°
KGNT;Милан;Milan;;Grants;США;
KGNU;;Goodnews Bay;;Goodnews Bay;США;
KGNV;;Gainesville Regional;;Gainesville;США;
FBGZ;Ганзи;Ghanzi;Ганзи;Ghanzi;Ботсвана;
LIMJ;;Cristoforo Colombo;;Genova;Италия;
HAGB;Гоба;Goba;Гоба;Goba;Эфиопия;
;Гора;Gora;Гора;Gora;Папуа - Новая Гвинея;
;;Gonalia;;Gonalia;Папуа - Новая Гвинея;
KGOF;;Goodfellow AFB;;San Angelo;Италия;
FYGB;;Gobabis;;Gobabis;Намибия;
BGGH;;Nuuk;;Nuuk;Гренландия;
VAGO;;Dabolim;Гоа;Goa;Индия;
UWGG;Нижний Новгород Аэропорт;Nizhny Novgorod Airport;Нижний Новгород;Nizhniy Novgorod;Россия;18L:179°,36R:359°,18R:179°,36L:359°
KGOK;;Guthrie;;Guthrie;США;
KGOL;;State;;Gold Beach;США;
FZNA;Гома;Goma;Гома;Goma;Демократическая республика Конго;17:174°,35:354°
KGON;;New London;;New London;США;
YGDI;;Goondiwindi;;Goondiwindi;Австралия;04:032°,22:212°,12:121°,30:301°
VEGK;Горахпур;Gorakhpur;Горахпур;Gorakhpur;Индия;11:113°,29:293°
ZLGM;Голмуд;Golmud;Голмуд;Golmud;Китай;
HAGR;Гор;Gore;Гор;Gore;Эфиопия;
;;Gosford;;Gosford;Австралия;
ESGG;;Landvetter;Готенбург;Gothenburg;Швеция;03:022°,21:202°
FKKR;Гаруа;Garoua;Гаруа;Garoua;Камерун;09:085°,27:265°
YPGV;;Nhulunbuy;;Gove;Австралия;
VCCG;;Amparai;Гал-Ойя;Gal Oya;Шри-Ланка;
LBGO;;Gorna Oriahovitsa;;Gorna Oriahovitsa;Болгария;
LGRX;;Araxos Airport;Патрас;Patras;Греция;
SBGU;;Tancredo Thomaz Faria;;Guarapuava;Бразилия;
SKGP;Гуапи;Guapi;Гуапи;Guapi;Колумбия;
MRGP;Гуапайлз;Guapiles;Гуапайлз;Guapiles;Коста-Рика;
YGPT;;Garden Point;;Garden Point;Австралия;04:039°,22:219°
SAZG;Хенераль-Пико;General Pico;Хенераль-Пико;General Pico;Аргентина;16:161°,34:341°,03:033°,21:213°
SEGS;;Baltra;;Galapagos Is;Эквадор;
KGPT;;Gulfport-Biloxi International;;Gulfport;США;
KGPZ;;Grand Rapids;;Grand Rapids;США;
;;RAF Station;;Machrihanish;Великобритания;
KGQQ;;Galion;;Galion;США;
;Гамарра;Gamarra;Гамарра;Gamarra;Колумбия;
KGRB;;Austin-straubel Field;Грин Бэй;Green Bay;США;
;Гранд-Цесс;Grand Cess;Гранд-Цесс;Grand Cess;Либерия;
KGRD;;Greenwood;;Greenwood;США;
KGRE;;Municipal;;Greenville;США;
KGRF;;Gray Aaf;Такома;Tacoma;США;
OAGZ;Гардез;Gardez;Гардез;Gardez;Афганистан;
;Гаруахи;Garuahi;Гаруахи;Garuahi;Папуа - Новая Гвинея;
KGRI;;Grand Island;;Grand Island, NE;США;
FAGG;Джордж;George;Джордж;George;ЮАР;11:112°,29:292°
KGRK;;Gray Aaf;;Fort Hood, TX;США;
;Гараса;Garasa;Гараса;Garasa;Папуа - Новая Гвинея;
KCKC;;Devils Track;;Grand Marais;США;
KGRN;;Gordon;;Gordon;США;
LEGE;;Girona-Costa Brava;Герона;Gerona;Испания;
SWGI;;Gurupi;;Gurupi;Бразилия;
EHGG;;Eelde;Гронинген;Groningen;Нидерланды;
KGRR;;Kent County Intl;;Grand Rapids;США;
LIRS;;Baccarini;Гроссето;Grosseto;Италия;
;Гуджрат;Gujrat;Гуджрат;Gujrat;Пакистан;
SBGR;;Guarulhos Intl;Сао Паоло;Sao Paulo;Бразилия;
URMG;Грозный/Аэропорт Северный;Grozny/Severny Airport;Грозный;Groznyj;Россия;08:080°,26:260°
LPGR;;Graciosa Island;;Graciosa Island;Португалия;
LEGR;Гранада;Granada;Гранада;Granada;Испания;09:090°,27:270°
BIGR;Гримси;Grimsey;Гримси;Grimsey;Исландия;17:171°,35:351°
LOWG;;Thalerhof;Грац;Graz;Австрия;
WBKN;;Long Pasia;;Long Pasia;Малайзия;
KGSB;;Seymour Johnson AFB;;Goldsboro;США;
YGSC;;Gascoyne Junction;;Gascoyne Junction;Австралия;
ESGP;;Gothenburg City Airport;Готенбург;Gothenburg;Швеция;
KGSH;;Goshen;;Goshen;США;
;Гуадалканал;Guadalcanal;Гуадалканал;Guadalcanal;Соломоновы острова;
SAZV;;Taltheilei Narrows;;Taltheilei Narrows;Канада;
SBSC;;Gheshm;;Gheshm;Иран;
YMGN;;Mount Gunson;;Mount Gunson;Австралия;
KGSO;;Piedmont Triad Intl;;High Point;США;
KGSP;;"Greenville Spartanbur Int&#039;l Airport";;Greenville;США;
HEOW;;Shark Elowainat;;Shark Elowainat;Египет;
HCMG;Гардо;Gardo;Гардо;Gardo;Эфиопия;
;;Sabi Sabi;;Sabi Sabi;ЮАР;
PAGS;;Gustavus Arpt;;Gustavus;США;
HSGF;Гедарев;Gedaref;Гедарев;Gedaref;Судан;
EGXB;;Binbrook;Гримсби;Grimsby;Великобритания;
;;Gatokae Aerodrom;;Gatokae;Соломоновы острова;
;Гентинг;Genting;Гентинг;Genting;Малайзия;
;;Green Turtle;;Green Turtle;Багамские острова;
YGTE;;Alyangula;;Groote Eylandt;Австралия;
KGTF;;International;;Great Falls;США;
KGTG;;Municipal;;Grantsburg;США;
EDCG;Гюттин;Guettin;Гюттин;Guettin;Германия;
;;Sungei Tekai;;Sungei Tekai;Малайзия;
NZGT;;Glentanner;Маунт Кук;Mount Cook;Новая Зеландия;15:147°,33:327°
WAMG;;Tolotio;Горонтало;Gorontalo;Индонезия;
KGTR;;Golden Triangle Reg.;;Columbus;США;
YGDW;;Granites;;Granites;Австралия;
YGTN;;Georgetown;;Georgetown;Австралия;06:057°,24:237°
LKHO;;Holesov;Злин;Zlin;Чехия;
KGTY;Геттисберг;Gettysburg;Геттисберг;Gettysburg;США;
MGGT;;La Aurora;Гватемала Сити;Guatemala City;Гватемала;02:016°,20:196°
MMGR;Гверреро-Негро;Guerrero Negro;Гверреро-Негро;Guerrero Negro;Мексика;
KGUC;;Gunnison;;Gunnison;США;
GAGM;Гундам;Goundam;Гундам;Goundam;Мали;
;;Guriaso;;Guriaso;Папуа - Новая Гвинея;
KJKA;;Edwards;;Gulf Shores;США;
;Гуари;Guari;Гуари;Guari;Папуа - Новая Гвинея;
YGDH;;Gunnedah;;Gunnedah;Австралия;11:111°,29:291°,17:171°,35:351°
SVGI;Гуйриа;Guiria;Гуйриа;Guiria;Венесуэла;05:047°,23:227°
SBGW;;Guaratingueta;;Guaratingueta;Бразилия;02:021°,20:201°
YGLB;Гоулбурн;Goulburn;Гоулбурн;Goulburn;Австралия;04:035°,22:215°,08:080°,26:260°
KGUN;;Gunter AFB;;Montgomery;Великобритания;
;Гуалако;Gualaco;Гуалако;Gualaco;Гондурас;
KGUP;;Senator Clark;Галлап;Gallup;США;
SVGU;Гуанаре;Guanare;Гуанаре;Guanare;Венесуэла;05:055°,23:235°
AYGN;;Gurney;;Alotau;Папуа - Новая Гвинея;09:093°,27:273°
KGUS;;Grissom Afb;;Peru, Indiana;США;
ETUO;;Guetersloh;;Guetersloh;Германия;
BIGF;;Grundarfjordur;;Grundarfjordur;Исландия;04:044°,22:224°
;Мугулу;Mougulu;Мугулу;Mougulu;Папуа - Новая Гвинея;
UATG;Атырау;Atyrau International;Атырау;Atyrau;Казахстан;
VAGN;Гуна;Guna;Гуна;Guna;Индия;
KGUY;;Guymon;;Guymon;США;
DNGU;;Guarapari;;Guarapari;Бразилия;
LSGG;;Geneve-cointrin;Женева;Geneva;Швейцария;
KGVE;;Municipal;;Gordonsville;США;
;Грин-Ривер;Green River;Грин-Ривер;Green River;Папуа - Новая Гвинея;
KGVL;;Lee Gilmer Memorial;;Gainesville;США;
YGNV;;Greenvale;;Greenvale;Австралия;
SBGV;;Governador Valadares;;Governador Valadares;Бразилия;07:068°,25:248°
KGVT;;Majors Field;;Greenville;США;
YPGV;;Richards-Gebaur;;Grandview;США;
ESSK;;Sandviken;Гавле;Gavle;Швеция;
VYGW;;Gwa;;Gwa;Мьянма;
OPGD;Гвадар;Gwadar;Гвадар;Gwadar;Пакистан;06:062°,24:242°
FVTL;Гверу;Gweru;Гверу;Gweru;Зимбабве;
VIGR;Гуалиор;Gwalior;Гвалиор;Gwalior;Индия;
;;Gnarowein;;Gnarowein;Папуа - Новая Гвинея;
KGWO;;Leflore;;Greenwood;США;
KGWS;;Glenwood Springs;;Glenwood Springs;США;
EDXW;;Westerland - Sylt;;Westerland;Германия;
KGWV;;Glendale;;Glendale;Зимбабве;
;;Raf Gatow;Берлин;Berlin;Германия;
EICM;;Carnmore;Голуэй;Galway;Ирландия;
OYSY;Сейюн;Seiyun;Сейюн;Seiyun;Йемен;
FNNG;Негаге;Negage;Негаге;Negage;Ангола;
EGUN;;NAF;Милденхолл;Mildenhall;Великобритания;
SCCY;;Ten. Vidal;Койайке;Coyhaique;Чили;
FKKJ;Ягуа;Yagoua;Ягуа;Yagoua;Камерун;
KGXY;;Weld County;;Greeley;США;
SLGY;Гуаярамерин;Guayaramerin;Гуаярамерин;Guayaramerin;Бразилия;
UBBB;Гейдар Алиев;Heydar Aliyev;Баку;Baku;Азербайджан;
SEGY;;Simon Bolivar;Гуайяквил;Guayaquil;Эквадор;
HRYG;Гисеный;Gisenyi;Гисеный;Gisenyi;Руанда;01:009°,19:189°
YARG;;Argyle;;Argyle;Австралия;01:019°,19:199°
MMGM;;Gen Jose M Yanez;;Guaymas;Мексика;
SBGO;;Santa Genoveva;;Goiania;Бразилия;14:142°,32:322°
YGYM;;Gympie;;Gympie;Австралия;
KGYR;;Litchfield;;Goodyear;США;
ZUGU;;Guang Yuan;;Guang Yuan;Китай;
KGYY;;Gary/Chicago International;;Gary (IN);США;
OAGN;Газни;Ghazni;Газни;Ghazni;Афганистан;
LMMG;;Gozo Heliport;Гозо;Gozo;Мальта;
AGGN;Гизо;Gizo;Гизо;Gizo;Соломоновы острова;
LTAJ;Газиантеп;Gaziantep;Газиантеп;Gaziantep;Турция;10:100°,28:280°
CYYR;;Ghazvin;;Ghazvin;Иран;
ENHK;Хасвик;Hasvik;Хасвик;Hasvik;Норвегия;11:107°,29:287°
KHAB;;Marion County;Гамильтон;Hamilton;США;
RJTH;;Hachijo Jima;;Hachijo Jima;Япония;
ESMT;Халмстад;Halmstad;Халмстад;Halmstad;Швеция;01:002°,19:182°,06:048°,24:228°
KHAE;;Havasupai;;Havasupai;США;
KHAF;;Half Moon;;Half Moon;США;
FMCH;;Prince Said Ibrahim In;;Moroni;Коморские острова;
KHAI;;Dr Haines;;Three Rivers;Либерия;
EDDV;;Hanover Arpt;Ганновер;Hanover;Германия;
ZJHK;Хайкоу;Haikou;Хайкоу;Haikou;Китай;
FYHI;Халали;Halali;Халали;Halali;Намибия;
EDDH;Аэропорт Гамбурга;Hamburg Airport;Гамбург;Hamburg;Германия;
VVNB;;Noibai International;Ханой;Hanoi;Вьетнам;
KHAO;Гамильтон;Hamilton;Гамильтон;Hamilton;США;
;Лонг Айленд;Long Island;Лонг Айленд;Long Island;Папуа - Новая Гвинея;
VRMH;;Hanimaadhoo;;Hanimaadhoo;Мальдивы;
KCXY;;Capital City;;Harrisburg;США;
OEHL;Хаиль;Hail;Хаиль;Hail;Саудовская Аравия;18:180°,36:000°
YHTL;;Heathlands;;Heathlands;Австралия;
ENHD;Хаугезунд;Haugesund;Хаугезунд;Haugesund;Норвегия;
MUHA;;Jose Marti Intl;Гавана;Havana;Куба;
EGFE;;Haverfordwest;;Haverfordwest;Великобритания;03:031°,21:211°,09:089°,27:269°
KHAX;;Hatbox Field;;Muskogee;США;
KHAY;;Haycock;;Haycock;США;
;Хетцфельдтавен;Hatzfeldthaven;Хетцфельдтавен;Hatzfeldthaven;Папуа - Новая Гвинея;
YMHB;Хобарт;Hobart;Хобарт;Hobart;Австралия;12:120°,30:300°
KHBB;;Industrial Airpark;;Hobbs;Австралия;
KHII;;Hanus Bay;;Hanus Bay;США;
DIAP;;Habi;;Habi;Саудовская Аравия;
HEBA;Борк Эль Араб;Borg El Arab;Александрия;Alexandria;Египет;
KHBG;;The Hattiesburg-Bobby L. Chain Mun.;Хаттисберг;Hattiesburg;США;
KHBH;;Hobart Bay;;Hobart Bay;США;
KHBI;Харбор-Айленд;Harbour Island;Харбор-Айленд;Harbour Island;Багамские острова;
;;Babelegi Heliport;Бабелеги;Babelegi;ЮАР;
;;Flamingo;;Phu-bon;Камбоджа;
KHOU;;Municipal;;Humboldt;США;
KHBR;Хобарт;Hobart;;Hobart, OK;США;
;Хафр-Альбатин;Hafr Albatin;Хафр-Альбатин;Hafr Albatin;Саудовская Аравия;
VAHB;Хубли;Hubli;Хубли;Hubli;Индия;
KHCA;;Howard County;;Big Spring;США;
KHCB;;Shoal Cove;;Shoal Cove;США;
;;Columbia County;;Hudson;Кыргызстан;
HCME;;Eil;;Eil;Сомали;
RCKW;;Hengchun;;Hengchun;Китай;14:141°,32:321°
YHLC;Холлз Крик;Halls Creek;Холлз Крик;Halls Creek;Австралия;04:041°,22:221°,08:083°,26:263°
PAHC;;Holy Cross;;Holy Cross;США;
;;Randburg Heliport;Йоханнесбург;Johannesburg;Намибия;
KCQW;;Cheraw;;Cheraw;США;
