icao_code;name_rus;name_eng;city_rus;city_eng;country_rus;runway_headings
NGTB;Абемама-Атолл;Abemama Atoll;Абемама-Атолл;Abemama Atoll;Кирибати;
KTDO;;Aleneva;;Aleneva;США;
WIME;Эк-Годан;Aek Godang;Эк-Годан;Aek Godang;Индонезия;11:113°,29:293°
FTTC;;Abecher;;Abecher;Чад;
KCID;Альгесирас;Algeciras;Альгесирас;Algeciras;Испания;
;Асеки;Aseki;Асеки;Aseki;Папуа - Новая Гвинея;
KAEL;Альберт Ли;Albert Lea;Альберт Ли;Albert Lea;США;
GQNA;;Aioun El Atrouss;;Aioun El Atrouss;Мавритания;
SABE;;Arpt. Jorge Newbery;Буэнос-Айрес;Buenos Aires;Аргентина;
URSS;Аэропорт Сочи;Sochi Airport;Адлер;Adler;Россия;06:058°,24:238°,02:022°,20:202°
ENAL;Вигра;Vigra;;Aalesund;Норвегия;
PFAL;;Allakaket;;Allakaket;США;
LFAE;;Abu Musa;;Abu Musa;Иран;
KAEX;Александрия международный;Alexandria International;;Alexandria, LA;США;
BIAR;Акурейри;Akureyri;Акурейри;Akureyri;Исландия;01:008°,19:188°
SAMR;Сан-Рафаэль;San Rafael;Сан-Рафаэль;San Rafael;Аргентина;11:108°,29:288°
FAPA;Порт Альфред;Port Alfred;Порт Альфред;Port Alfred;ЮАР;10:101°,10:101°,07:072°,25:252°,18:183°,36:002°
KAFF;;USAF Academy Airstrip;Колорадо Спрингз;Colorado Springs;США;
SKAM;Амалфи;Amalfi;Амалфи;Amalfi;Колумбия;
KAFK;;Kondavattavan Tank;;Ampara;Шри-Ланка;
SBAT;Алта-Флореста;Alta Floresta;Алта-Флореста;Alta Floresta;Бразилия;04:037°,22:217°
KAFN;;Municipal;;Jaffrey;США;
KAFO;;Municipal;Афтон;Afton;США;
;Афоре;Afore;Афоре;Afore;Папуа - Новая Гвинея;
;Зарафшан;Zarafshan;Зарафшан;Zarafshan;Узбекистан;
AGAF;;Afutara Aerodrome;Афутара;Afutara;Соломоновы острова;
KAFW;;Fort Worth Alliance;;Fort Worth, TX;США;
LTAH;Афион;Afyon;Афион;Afyon;Турция;13:128°,13:128°
MPLB;;Sabzevar;;Sabzevar;Иран;
GMAD;Агадир Альмассира;Agadir Almassira;Агадир;Agadir;Марокко;
EDMA;;Augsburg - Muehlhausen;Мюнхен;Munich;Германия;
KAGC;;Allegheny County;Питтсборо;Pittsburgh;США;
WASG;Ангги;Anggi;Ангги;Anggi;Индонезия;
EDWG;;Flugplatz;Вангерооге;Wangerooge;Германия;
LFBA;;La Garenne;Аген;Agen;Франция;
;Ангорам;Angoram;Ангорам;Angoram;Папуа - Новая Гвинея;
ESTA;;Angelholm;;Angelholm/Helsingborg;Швеция;14:132°,32:312°
SMWA;Вагенинген;Wageningen;Вагенинген;Wageningen;Суринам;
RORA;Агуни;Aguni;Агуни;Aguni;Япония;01:010°,19:190°
;Кагуа;Kagua;Кагуа;Kagua;Папуа - Новая Гвинея;
;Ванигела;Wanigela;Ванигела;Wanigela;Папуа - Новая Гвинея;
BGAM;;Tasiilaq;;Tasiilaq;Гренландия;
PAGN;Ангун;Angoon;;Angoon;США;
KAGO;;Municipal;;Magnolia;США;
LEMG;;Pablo Ruiz Picasso;Малага;Malaga;Испания;
LGAG;Агринио;Agrinion;Агринио;Agrinion;Греция;
VIAG;;Kheria;Агра;Agra;Индия;
KAGS;;Bush Field;;Augusta;США;
SGES;;Alejo Garcia;Кудад-дель-Эсте;Ciudad Del Este;Парагвай;
MMAS;;Aguascalients;Агуаскалиентес;Aguascalientes;Мексика;
